District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,Production,Crop_Label_22,Season_enc,District_enc,Crop_enc,Crop_22_enc,Production_log
Lalmonirhat,Kharif 1,Dalim,8,16.07,18.5,37.81,6.37,21.5,5.0,38,82.5,95,70,179.6013888888889,18,pomegranate,0,32,8,14,2.9444389791664403
Madaripur,Kharif 1,Dalim,7,17.97,20.43,39.77,6.75,21.5,5.0,38,82.5,95,70,160.41666666666666,49,pomegranate,0,33,8,14,3.912023005428146
Magura,Kharif 1,Dalim,46,19.52,16.95,34.96,6.38,21.5,5.0,38,82.5,95,70,134.2247474747475,65,pomegranate,0,34,8,14,4.189654742026425
Manikganj,Kharif 1,Dalim,2,18.64,17.82,40.64,6.01,21.5,5.0,38,82.5,95,70,169.94262295081967,4,pomegranate,0,35,8,14,1.6094379124341003
Meherpur,Kharif 1,Dalim,14,19.29,18.63,43.66,6.04,21.5,5.0,38,82.5,95,70,129.44444444444446,9,pomegranate,0,36,8,14,2.302585092994046
Moulvibazar,Kharif 1,Dalim,5,18.19,16.9,36.65,6.44,21.5,5.0,38,82.5,95,70,333.72557471264366,4,pomegranate,0,37,8,14,1.6094379124341003
Munshiganj,Kharif 1,Dalim,1,18.97,18.55,38.8,6.55,21.5,5.0,38,82.5,95,70,169.94262295081967,4,pomegranate,0,38,8,14,1.6094379124341003
Mymensingh,Kharif 1,Dalim,18,18.69,20.62,41.0,6.5,21.5,5.0,38,82.5,95,70,181.08838383838383,11,pomegranate,0,39,8,14,2.4849066497880004
Naogaon,Kharif 1,Dalim,5,20.19,18.77,43.23,6.46,21.5,5.0,38,82.5,95,70,124.92,21,pomegranate,0,40,8,14,3.091042453358316
Narail,Kharif 1,Dalim,21,19.16,19.01,39.13,6.65,21.5,5.0,38,82.5,95,70,134.2247474747475,8,pomegranate,0,41,8,14,2.1972245773362196
Narayanganj,Kharif 1,Dalim,4,19.25,17.33,38.54,6.33,21.5,5.0,38,82.5,95,70,169.94262295081967,29,pomegranate,0,42,8,14,3.4011973816621555
Narsingdi,Kharif 1,Dalim,12,18.4,18.06,35.46,6.6,21.5,5.0,38,82.5,95,70,169.94262295081967,29,pomegranate,0,43,8,14,3.4011973816621555
Natore,Kharif 1,Dalim,8,18.32,18.33,40.46,6.12,21.5,5.0,38,82.5,95,70,124.92,51,pomegranate,0,44,8,14,3.9512437185814275
Netrokona,Kharif 1,Dalim,15,18.38,18.39,45.14,6.26,21.5,5.0,38,82.5,95,70,181.08838383838383,26,pomegranate,0,45,8,14,3.295836866004329
Nilphamari,Kharif 1,Dalim,6,19.32,20.19,40.88,6.08,21.5,5.0,38,82.5,95,70,179.6013888888889,18,pomegranate,0,46,8,14,2.9444389791664403
Noakhali,Kharif 1,Dalim,2,18.39,19.38,40.16,6.38,21.5,5.0,38,82.5,95,70,185.7563131313132,1,pomegranate,0,47,8,14,0.6931471805599453
Pabna,Kharif 1,Dalim,4,19.2,17.5,40.99,6.42,21.5,5.0,38,82.5,95,70,124.92,8,pomegranate,0,48,8,14,2.1972245773362196
Panchagar,Kharif 1,Dalim,21,21.22,19.03,40.18,6.45,21.5,5.0,38,82.5,95,70,154.21843434343435,16,pomegranate,0,49,8,14,2.833213344056216
Patuakhali,Kharif 1,Dalim,11,19.86,19.31,38.25,6.44,21.5,5.0,38,82.5,95,70,207.8076923076923,7,pomegranate,0,50,8,14,2.0794415416798357
Pirojpur,Kharif 1,Dalim,1,18.5,20.03,42.2,6.25,21.5,5.0,38,82.5,95,70,175.42564102564103,2,pomegranate,0,51,8,14,1.0986122886681098
Rajbari,Kharif 1,Dalim,2,20.23,20.53,40.75,6.39,21.5,5.0,38,82.5,95,70,155.864898989899,10,pomegranate,0,52,8,14,2.3978952727983707
Rajshahi,Kharif 1,Dalim,16,18.41,17.61,40.25,6.14,21.5,5.0,38,82.5,95,70,124.92,90,pomegranate,0,53,8,14,4.51085950651685
Rangamati,Kharif 1,Dalim,2,16.56,17.84,37.86,6.69,21.5,5.0,38,82.5,95,70,204.11111111111111,1,pomegranate,0,54,8,14,0.6931471805599453
Rangpur,Kharif 1,Dalim,7,17.73,17.34,43.35,6.37,21.5,5.0,38,82.5,95,70,179.6013888888889,22,pomegranate,0,55,8,14,3.1354942159291497
Shariatpur,Kharif 1,Dalim,3,18.47,19.27,38.88,6.74,21.5,5.0,38,82.5,95,70,155.864898989899,25,pomegranate,0,57,8,14,3.258096538021482
Sherpur,Kharif 1,Dalim,3,18.89,19.86,42.63,6.19,21.5,5.0,38,82.5,95,70,181.08838383838383,4,pomegranate,0,58,8,14,1.6094379124341003
Sirajganj,Kharif 1,Dalim,5,20.77,18.66,39.01,6.21,21.5,5.0,38,82.5,95,70,142.85416666666666,14,pomegranate,0,59,8,14,2.70805020110221
Sunamganj,Kharif 1,Dalim,4,19.24,18.39,38.32,6.22,21.5,5.0,38,82.5,95,70,333.72557471264366,2,pomegranate,0,60,8,14,1.0986122886681098
Tangail,Kharif 1,Dalim,24,19.81,17.81,35.94,6.51,21.5,5.0,38,82.5,95,70,153.4104938271605,82,pomegranate,0,62,8,14,4.418840607796598
Thakurgaon,Kharif 1,Dalim,12,16.37,21.1,41.35,6.57,21.5,5.0,38,82.5,95,70,154.21843434343435,36,pomegranate,0,63,8,14,3.6109179126442243
Bagerhat,Kharif 2,Gram,7,40.66,61.25,71.14,7.91,27.5,20.0,35,35.0,45,25,144.96843434343435,2,chickpea,1,0,9,2,1.0986122886681098
Bandarban,Kharif 2,Gram,7,41.94,68.54,74.03,6.84,27.5,20.0,35,35.0,45,25,243.94444444444449,3,chickpea,1,1,9,2,1.3862943611198906
Barguna,Kharif 2,Gram,42,36.53,76.02,69.97,7.47,27.5,20.0,35,35.0,45,25,207.8076923076923,15,chickpea,1,2,9,2,2.772588722239781
Barishal,Kharif 2,Gram,959,42.84,67.82,79.51,7.22,27.5,20.0,35,35.0,45,25,175.42564102564103,383,chickpea,1,3,9,2,5.950642552587727
Bhola,Kharif 2,Gram,74,40.9,67.02,79.2,7.21,27.5,20.0,35,35.0,45,25,185.23090277777777,51,chickpea,1,4,9,2,3.9512437185814275
Bogura,Kharif 2,Gram,8,39.09,66.34,78.35,7.2,27.5,20.0,35,35.0,45,25,142.85416666666666,3,chickpea,1,5,9,2,1.3862943611198906
Chapai Nawabganj,Kharif 2,Gram,1798,40.53,58.79,82.15,7.53,27.5,20.0,35,35.0,45,25,124.92,687,chickpea,1,8,9,2,6.5337888379333435
Chattogram,Kharif 2,Gram,26,40.69,74.03,77.28,7.35,27.5,20.0,35,35.0,45,25,243.94444444444449,8,chickpea,1,9,9,2,2.1972245773362196
Chuadanga,Kharif 2,Gram,144,38.99,62.0,81.44,7.64,27.5,20.0,35,35.0,45,25,129.44444444444446,53,chickpea,1,10,9,2,3.9889840465642745
Dhaka,Kharif 2,Gram,7,38.03,70.18,86.17,6.86,27.5,20.0,35,35.0,45,25,169.94262295081967,2,chickpea,1,13,9,2,1.0986122886681098
Dinajpur,Kharif 2,Gram,9,40.26,61.29,82.73,7.19,27.5,20.0,35,35.0,45,25,154.21843434343435,3,chickpea,1,14,9,2,1.3862943611198906
Faridpur,Kharif 2,Gram,210,38.94,69.67,77.94,7.38,27.5,20.0,35,35.0,45,25,155.864898989899,85,chickpea,1,15,9,2,4.454347296253507
Feni,Kharif 2,Gram,38,41.24,76.02,81.15,7.36,27.5,20.0,35,35.0,45,25,248.1727642276423,17,chickpea,1,16,9,2,2.8903717578961645
Gaibandha,Kharif 2,Gram,31,40.89,62.25,78.77,7.37,27.5,20.0,35,35.0,45,25,179.6013888888889,18,chickpea,1,17,9,2,2.9444389791664403
Gazipur,Kharif 2,Gram,38,42.59,68.56,79.96,7.03,27.5,20.0,35,35.0,45,25,169.94262295081967,19,chickpea,1,18,9,2,2.995732273553991
Gopalganj,Kharif 2,Gram,103,38.86,65.1,78.36,7.52,27.5,20.0,35,35.0,45,25,155.864898989899,20,chickpea,1,19,9,2,3.044522437723423
Jamalpur,Kharif 2,Gram,90,37.74,67.87,80.94,7.5,27.5,20.0,35,35.0,45,25,181.08838383838383,34,chickpea,1,21,9,2,3.5553480614894135
Jashore,Kharif 2,Gram,234,39.02,65.18,75.16,6.92,27.5,20.0,35,35.0,45,25,134.2247474747475,104,chickpea,1,22,9,2,4.653960350157523
Jhallokati,Kharif 2,Gram,255,41.0,69.77,75.05,7.41,27.5,20.0,35,35.0,45,25,175.42564102564103,95,chickpea,1,23,9,2,4.564348191467836
Jhenaidah,Kharif 2,Gram,89,41.91,75.13,73.26,7.08,27.5,20.0,35,35.0,45,25,134.2247474747475,45,chickpea,1,24,9,2,3.828641396489095
Khulna,Kharif 2,Gram,3,43.35,62.53,80.68,7.36,27.5,20.0,35,35.0,45,25,144.96843434343435,1,chickpea,1,27,9,2,0.6931471805599453
Kishoreganj,Kharif 2,Gram,5,41.08,63.9,75.64,7.15,27.5,20.0,35,35.0,45,25,181.08838383838383,1,chickpea,1,28,9,2,0.6931471805599453
Kurigram,Kharif 2,Gram,242,44.6,69.71,82.38,7.34,27.5,20.0,35,35.0,45,25,179.6013888888889,106,chickpea,1,29,9,2,4.672828834461906
Kushtia,Kharif 2,Gram,164,38.23,73.83,80.09,7.0,27.5,20.0,35,35.0,45,25,129.44444444444446,79,chickpea,1,30,9,2,4.382026634673881
Lakshmipur,Kharif 2,Gram,11,37.1,69.24,70.48,7.59,27.5,20.0,35,35.0,45,25,185.7563131313132,6,chickpea,1,31,9,2,1.9459101490553132
Lalmonirhat,Kharif 2,Gram,11,35.81,66.52,83.06,7.29,27.5,20.0,35,35.0,45,25,179.6013888888889,9,chickpea,1,32,9,2,2.302585092994046
Madaripur,Kharif 2,Gram,965,43.69,67.79,83.81,7.59,27.5,20.0,35,35.0,45,25,160.41666666666666,402,chickpea,1,33,9,2,5.998936561946683
Magura,Kharif 2,Gram,257,41.66,62.7,75.15,7.22,27.5,20.0,35,35.0,45,25,134.2247474747475,75,chickpea,1,34,9,2,4.330733340286331
Manikganj,Kharif 2,Gram,4,39.96,70.25,81.93,7.22,27.5,20.0,35,35.0,45,25,169.94262295081967,1,chickpea,1,35,9,2,0.6931471805599453
Meherpur,Kharif 2,Gram,16,40.76,71.38,75.81,7.17,27.5,20.0,35,35.0,45,25,129.44444444444446,6,chickpea,1,36,9,2,1.9459101490553132
Moulvibazar,Kharif 2,Gram,1,37.38,65.95,80.39,7.53,27.5,20.0,35,35.0,45,25,333.72557471264366,1,chickpea,1,37,9,2,0.6931471805599453
Mymensingh,Kharif 2,Gram,45,40.4,68.87,71.32,7.48,27.5,20.0,35,35.0,45,25,181.08838383838383,23,chickpea,1,39,9,2,3.1780538303479458
Naogaon,Kharif 2,Gram,190,40.35,66.01,78.08,7.26,27.5,20.0,35,35.0,45,25,124.92,71,chickpea,1,40,9,2,4.276666119016055
Narail,Kharif 2,Gram,43,41.84,67.52,79.33,6.9,27.5,20.0,35,35.0,45,25,134.2247474747475,19,chickpea,1,41,9,2,2.995732273553991
Narsingdi,Kharif 2,Gram,3,40.63,66.79,74.24,7.08,27.5,20.0,35,35.0,45,25,169.94262295081967,5,chickpea,1,43,9,2,1.791759469228055
Natore,Kharif 2,Gram,66,38.19,66.33,78.0,7.35,27.5,20.0,35,35.0,45,25,124.92,27,chickpea,1,44,9,2,3.332204510175204
Noakhali,Kharif 2,Gram,7,43.33,67.05,80.8,7.32,27.5,20.0,35,35.0,45,25,185.7563131313132,1,chickpea,1,47,9,2,0.6931471805599453
Pabna,Kharif 2,Gram,161,43.92,65.15,76.71,7.3,27.5,20.0,35,35.0,45,25,124.92,104,chickpea,1,48,9,2,4.653960350157523
Panchagar,Kharif 2,Gram,40,38.86,73.16,85.54,7.48,27.5,20.0,35,35.0,45,25,154.21843434343435,13,chickpea,1,49,9,2,2.6390573296152584
Patuakhali,Kharif 2,Gram,1242,37.71,73.56,74.28,7.55,27.5,20.0,35,35.0,45,25,207.8076923076923,540,chickpea,1,50,9,2,6.293419278846481
Rajbari,Kharif 2,Gram,61,40.22,60.2,85.59,7.17,27.5,20.0,35,35.0,45,25,155.864898989899,31,chickpea,1,52,9,2,3.4657359027997265
Rajshahi,Kharif 2,Gram,3101,42.72,71.89,82.23,6.95,27.5,20.0,35,35.0,45,25,124.92,1519,chickpea,1,53,9,2,7.326465613840322
Rangpur,Kharif 2,Gram,24,43.77,71.01,77.39,7.2,27.5,20.0,35,35.0,45,25,179.6013888888889,11,chickpea,1,55,9,2,2.4849066497880004
Shariatpur,Kharif 2,Gram,273,39.06,71.42,73.1,7.26,27.5,20.0,35,35.0,45,25,155.864898989899,192,chickpea,1,57,9,2,5.262690188904886
Sherpur,Kharif 2,Gram,58,37.66,62.86,75.27,7.49,27.5,20.0,35,35.0,45,25,181.08838383838383,40,chickpea,1,58,9,2,3.713572066704308
Sirajganj,Kharif 2,Gram,52,36.11,70.76,78.01,7.21,27.5,20.0,35,35.0,45,25,142.85416666666666,27,chickpea,1,59,9,2,3.332204510175204
Sylhet,Kharif 2,Gram,7,40.27,63.91,81.74,7.6,27.5,20.0,35,35.0,45,25,333.72557471264366,2,chickpea,1,61,9,2,1.0986122886681098
Tangail,Kharif 2,Gram,3,36.99,66.13,75.28,7.42,27.5,20.0,35,35.0,45,25,153.4104938271605,1,chickpea,1,62,9,2,0.6931471805599453
Thakurgaon,Kharif 2,Gram,82,36.97,70.58,78.43,7.33,27.5,20.0,35,35.0,45,25,154.21843434343435,36,chickpea,1,63,9,2,3.6109179126442243
Bagerhat,Kharif 1,Green Coconut,1007,21.54,17.04,29.46,5.87,25.0,20.0,30,70.0,80,60,144.96843434343435,29063,coconut,0,0,10,3,10.277255573901037
Bandarban,Kharif 1,Green Coconut,134,24.18,17.52,29.29,5.87,25.0,20.0,30,70.0,80,60,243.94444444444449,819,coconut,0,1,10,3,6.709304340258298
Barguna,Kharif 1,Green Coconut,8120,21.64,18.94,32.39,5.83,25.0,20.0,30,70.0,80,60,207.8076923076923,9069,coconut,0,2,10,3,9.112727543109182
Barishal,Kharif 1,Green Coconut,6623,20.0,15.34,28.07,5.88,25.0,20.0,30,70.0,80,60,175.42564102564103,13509,coconut,0,3,10,3,9.511185430954244
Bhola,Kharif 1,Green Coconut,1346,21.66,18.57,33.54,6.12,25.0,20.0,30,70.0,80,60,185.23090277777777,14143,coconut,0,4,10,3,9.557045784877424
Bogura,Kharif 1,Green Coconut,328,21.62,17.04,32.11,5.94,25.0,20.0,30,70.0,80,60,142.85416666666666,7981,coconut,0,5,10,3,8.984944285608679
Brahmanbaria,Kharif 1,Green Coconut,400,18.42,16.02,32.59,5.74,25.0,20.0,30,70.0,80,60,185.7563131313132,6689,coconut,0,6,10,3,8.808369153122275
Chandpur,Kharif 1,Green Coconut,394,21.91,15.58,29.74,6.3,25.0,20.0,30,70.0,80,60,168.796875,3934,coconut,0,7,10,3,8.277666160851503
Chapai Nawabganj,Kharif 1,Green Coconut,106,21.68,16.74,30.31,6.04,25.0,20.0,30,70.0,80,60,124.92,805,coconut,0,8,10,3,6.692083742506628
Chattogram,Kharif 1,Green Coconut,5826,22.9,17.87,27.96,5.73,25.0,20.0,30,70.0,80,60,243.94444444444449,8686,coconut,0,9,10,3,9.06958293425992
Chuadanga,Kharif 1,Green Coconut,179,24.42,16.8,29.63,5.9,25.0,20.0,30,70.0,80,60,129.44444444444446,3842,coconut,0,10,10,3,8.254008590564844
CoxsBazar,Kharif 1,Green Coconut,426,23.47,18.47,31.5,6.0,25.0,20.0,30,70.0,80,60,303.40277777777777,6576,coconut,0,11,10,3,8.79133399330135
Cumilla,Kharif 1,Green Coconut,1228,21.63,15.46,32.97,6.29,25.0,20.0,30,70.0,80,60,185.7563131313132,5897,coconut,0,12,10,3,8.682368589375221
Dhaka,Kharif 1,Green Coconut,145,20.52,16.92,28.56,5.78,25.0,20.0,30,70.0,80,60,169.94262295081967,3251,coconut,0,13,10,3,8.087025470667701
Dinajpur,Kharif 1,Green Coconut,260,25.37,15.66,29.92,6.16,25.0,20.0,30,70.0,80,60,154.21843434343435,2094,coconut,0,14,10,3,7.647308832356238
Faridpur,Kharif 1,Green Coconut,544,22.06,17.3,30.31,6.23,25.0,20.0,30,70.0,80,60,155.864898989899,5249,coconut,0,15,10,3,8.565983355585669
Feni,Kharif 1,Green Coconut,915,22.0,17.83,28.03,5.87,25.0,20.0,30,70.0,80,60,248.1727642276423,1986,coconut,0,16,10,3,7.594381242551817
Gaibandha,Kharif 1,Green Coconut,584,21.95,16.5,31.68,5.93,25.0,20.0,30,70.0,80,60,179.6013888888889,2209,coconut,0,17,10,3,7.700747794511798
Gazipur,Kharif 1,Green Coconut,393,22.24,14.28,29.26,5.79,25.0,20.0,30,70.0,80,60,169.94262295081967,1530,coconut,0,18,10,3,7.333676395657684
Gopalganj,Kharif 1,Green Coconut,333,21.79,17.13,30.23,5.94,25.0,20.0,30,70.0,80,60,155.864898989899,3479,coconut,0,19,10,3,8.15478757276852
Habiganj,Kharif 1,Green Coconut,731,21.22,17.37,29.76,5.97,25.0,20.0,30,70.0,80,60,333.72557471264366,5448,coconut,0,20,10,3,8.603187384583098
Jamalpur,Kharif 1,Green Coconut,512,21.26,17.34,29.14,6.1,25.0,20.0,30,70.0,80,60,181.08838383838383,4882,coconut,0,21,10,3,8.49351506406166
Jashore,Kharif 1,Green Coconut,1164,21.94,18.19,30.58,6.18,25.0,20.0,30,70.0,80,60,134.2247474747475,13060,coconut,0,22,10,3,9.47738596957752
Jhallokati,Kharif 1,Green Coconut,2444,21.26,15.84,30.19,5.85,25.0,20.0,30,70.0,80,60,175.42564102564103,8000,coconut,0,23,10,3,8.987321812850125
Jhenaidah,Kharif 1,Green Coconut,378,21.04,17.62,29.91,5.63,25.0,20.0,30,70.0,80,60,134.2247474747475,12191,coconut,0,24,10,3,9.408535277926427
Joypurhat,Kharif 1,Green Coconut,134,22.12,18.14,29.25,5.98,25.0,20.0,30,70.0,80,60,142.85416666666666,185,coconut,0,25,10,3,5.225746673713202
Khagrachari,Kharif 1,Green Coconut,656,21.64,15.12,31.18,6.03,25.0,20.0,30,70.0,80,60,204.11111111111111,1551,coconut,0,26,10,3,7.347299700743164
Khulna,Kharif 1,Green Coconut,1518,23.96,17.25,33.63,6.02,25.0,20.0,30,70.0,80,60,144.96843434343435,10641,coconut,0,27,10,3,9.272563715156315
Kishoreganj,Kharif 1,Green Coconut,313,18.48,16.42,30.85,5.92,25.0,20.0,30,70.0,80,60,181.08838383838383,7547,coconut,0,28,10,3,8.92903790648844
Kurigram,Kharif 1,Green Coconut,90,23.42,16.85,32.42,6.0,25.0,20.0,30,70.0,80,60,179.6013888888889,535,coconut,0,29,10,3,6.284134161070802
Kushtia,Kharif 1,Green Coconut,1286,23.62,17.28,28.04,6.25,25.0,20.0,30,70.0,80,60,129.44444444444446,16767,coconut,0,30,10,3,9.727227587120769
Lakshmipur,Kharif 1,Green Coconut,107,19.25,16.44,30.88,6.05,25.0,20.0,30,70.0,80,60,185.7563131313132,10592,coconut,0,31,10,3,9.267948684596496
Lalmonirhat,Kharif 1,Green Coconut,82,21.53,16.24,28.58,5.91,25.0,20.0,30,70.0,80,60,179.6013888888889,652,coconut,0,32,10,3,6.481577129276431
Madaripur,Kharif 1,Green Coconut,940,21.49,16.96,27.88,5.89,25.0,20.0,30,70.0,80,60,160.41666666666666,11783,coconut,0,33,10,3,9.374497958142467
Magura,Kharif 1,Green Coconut,695,20.12,15.83,29.23,5.95,25.0,20.0,30,70.0,80,60,134.2247474747475,5374,coconut,0,34,10,3,8.589513852995864
Manikganj,Kharif 1,Green Coconut,1533,20.95,15.83,32.78,6.27,25.0,20.0,30,70.0,80,60,169.94262295081967,13912,coconut,0,35,10,3,9.540578933841877
Meherpur,Kharif 1,Green Coconut,129,20.52,17.62,32.33,5.95,25.0,20.0,30,70.0,80,60,129.44444444444446,1368,coconut,0,36,10,3,7.221835825288449
Moulvibazar,Kharif 1,Green Coconut,269,24.29,15.76,31.04,5.98,25.0,20.0,30,70.0,80,60,333.72557471264366,4381,coconut,0,37,10,3,8.385260520155413
Munshiganj,Kharif 1,Green Coconut,67,23.21,17.61,27.78,5.89,25.0,20.0,30,70.0,80,60,169.94262295081967,954,coconut,0,38,10,3,6.86171134048073
Mymensingh,Kharif 1,Green Coconut,1667,23.66,17.4,30.23,6.18,25.0,20.0,30,70.0,80,60,181.08838383838383,10983,coconut,0,39,10,3,9.304194947447806
Naogaon,Kharif 1,Green Coconut,285,22.93,15.18,31.14,6.33,25.0,20.0,30,70.0,80,60,124.92,2455,coconut,0,40,10,3,7.806289289267033
Narail,Kharif 1,Green Coconut,943,20.49,16.24,30.91,6.06,25.0,20.0,30,70.0,80,60,134.2247474747475,8667,coconut,0,41,10,3,9.067393362656249
Narayanganj,Kharif 1,Green Coconut,43,21.29,18.14,27.21,5.99,25.0,20.0,30,70.0,80,60,169.94262295081967,2090,coconut,0,42,10,3,7.645397699428633
Narsingdi,Kharif 1,Green Coconut,84,22.63,15.93,28.96,5.99,25.0,20.0,30,70.0,80,60,169.94262295081967,1506,coconut,0,43,10,3,7.317876198626496
Natore,Kharif 1,Green Coconut,667,20.37,16.46,30.47,5.55,25.0,20.0,30,70.0,80,60,124.92,9702,coconut,0,44,10,3,9.1801903950253
Netrokona,Kharif 1,Green Coconut,521,22.92,17.4,31.57,6.11,25.0,20.0,30,70.0,80,60,181.08838383838383,4924,coconut,0,45,10,3,8.502079553606189
Nilphamari,Kharif 1,Green Coconut,103,21.66,17.73,26.56,6.0,25.0,20.0,30,70.0,80,60,179.6013888888889,1577,coconut,0,46,10,3,7.363913501405819
Noakhali,Kharif 1,Green Coconut,1694,21.49,16.67,30.29,6.06,25.0,20.0,30,70.0,80,60,185.7563131313132,25155,coconut,0,47,10,3,10.132851715663394
Pabna,Kharif 1,Green Coconut,725,22.92,16.32,30.85,5.85,25.0,20.0,30,70.0,80,60,124.92,11814,coconut,0,48,10,3,9.377125189621008
Panchagar,Kharif 1,Green Coconut,126,22.57,18.37,32.15,5.91,25.0,20.0,30,70.0,80,60,154.21843434343435,2084,coconut,0,49,10,3,7.642524134232902
Patuakhali,Kharif 1,Green Coconut,1779,21.5,18.7,31.86,5.91,25.0,20.0,30,70.0,80,60,207.8076923076923,14049,coconut,0,50,10,3,9.550377674761892
Pirojpur,Kharif 1,Green Coconut,3250,23.51,17.92,31.66,6.16,25.0,20.0,30,70.0,80,60,175.42564102564103,15538,coconut,0,51,10,3,9.651108271786734
Rajbari,Kharif 1,Green Coconut,350,20.55,17.02,29.12,5.91,25.0,20.0,30,70.0,80,60,155.864898989899,9656,coconut,0,52,10,3,9.175438319966918
Rajshahi,Kharif 1,Green Coconut,860,22.79,16.11,27.09,6.35,25.0,20.0,30,70.0,80,60,124.92,11692,coconut,0,53,10,3,9.366745651140318
Rangamati,Kharif 1,Green Coconut,1858,22.76,16.09,29.87,6.06,25.0,20.0,30,70.0,80,60,204.11111111111111,3162,coconut,0,54,10,3,8.059276223305648
Rangpur,Kharif 1,Green Coconut,153,21.57,17.46,32.43,5.75,25.0,20.0,30,70.0,80,60,179.6013888888889,2423,coconut,0,55,10,3,7.793174347189205
Satkhira,Kharif 1,Green Coconut,1741,22.41,17.36,33.15,5.96,25.0,20.0,30,70.0,80,60,140.35353535353536,17036,coconut,0,56,10,3,9.743142728545543
Shariatpur,Kharif 1,Green Coconut,313,20.33,18.35,31.89,5.86,25.0,20.0,30,70.0,80,60,155.864898989899,11945,coconut,0,57,10,3,9.388151773292252
Sherpur,Kharif 1,Green Coconut,199,23.2,17.59,31.38,5.59,25.0,20.0,30,70.0,80,60,181.08838383838383,2011,coconut,0,58,10,3,7.60688453121963
Sirajganj,Kharif 1,Green Coconut,172,21.74,15.4,31.29,6.27,25.0,20.0,30,70.0,80,60,142.85416666666666,3668,coconut,0,59,10,3,8.207674424355282
Sunamganj,Kharif 1,Green Coconut,182,21.29,18.0,29.57,6.11,25.0,20.0,30,70.0,80,60,333.72557471264366,3006,coconut,0,60,10,3,8.008698182988528
Sylhet,Kharif 1,Green Coconut,2191,23.36,15.92,30.35,6.08,25.0,20.0,30,70.0,80,60,333.72557471264366,1415,coconut,0,61,10,3,7.255591274253665
Tangail,Kharif 1,Green Coconut,272,21.05,16.54,33.65,6.01,25.0,20.0,30,70.0,80,60,153.4104938271605,4822,coconut,0,62,10,3,8.481151420068972
Thakurgaon,Kharif 1,Green Coconut,59,20.12,17.18,28.86,5.73,25.0,20.0,30,70.0,80,60,154.21843434343435,694,coconut,0,63,10,3,6.543911845564792
Bagerhat,Kharif 1,Green Papaya,83,45.22,66.12,54.89,6.64,25.0,20.0,30,70.0,80,60,144.96843434343435,1434,papaya,0,0,11,12,7.268920128193722
Bandarban,Kharif 1,Green Papaya,276,51.69,70.07,49.07,6.91,25.0,20.0,30,70.0,80,60,243.94444444444449,1633,papaya,0,1,11,12,7.3987862754199485
Barguna,Kharif 1,Green Papaya,3169,46.05,61.2,54.02,6.53,25.0,20.0,30,70.0,80,60,207.8076923076923,2565,papaya,0,2,11,12,7.850103545175582
Barishal,Kharif 1,Green Papaya,1373,55.13,58.4,45.82,6.23,25.0,20.0,30,70.0,80,60,175.42564102564103,4820,papaya,0,3,11,12,8.480736654405622
Bhola,Kharif 1,Green Papaya,207,43.65,60.94,51.8,6.69,25.0,20.0,30,70.0,80,60,185.23090277777777,1284,papaya,0,4,11,12,7.158513997329321
Bogura,Kharif 1,Green Papaya,436,54.96,62.19,47.83,6.71,25.0,20.0,30,70.0,80,60,142.85416666666666,7101,papaya,0,5,11,12,8.868131713503033
Brahmanbaria,Kharif 1,Green Papaya,176,50.51,57.91,45.79,6.77,25.0,20.0,30,70.0,80,60,185.7563131313132,1246,papaya,0,6,11,12,7.1284959456800365
Chandpur,Kharif 1,Green Papaya,102,49.59,65.41,50.7,6.89,25.0,20.0,30,70.0,80,60,168.796875,2608,papaya,0,7,11,12,7.866722285136729
Chapai Nawabganj,Kharif 1,Green Papaya,244,48.25,59.87,53.07,6.87,25.0,20.0,30,70.0,80,60,124.92,3160,papaya,0,8,11,12,8.058643712215618
Chattogram,Kharif 1,Green Papaya,321,51.07,60.81,47.5,6.79,25.0,20.0,30,70.0,80,60,243.94444444444449,3878,papaya,0,9,11,12,8.263332667439967
Chuadanga,Kharif 1,Green Papaya,142,49.77,61.41,45.54,6.98,25.0,20.0,30,70.0,80,60,129.44444444444446,3608,papaya,0,10,11,12,8.19118600464279
CoxsBazar,Kharif 1,Green Papaya,300,53.18,60.54,49.76,6.43,25.0,20.0,30,70.0,80,60,303.40277777777777,2345,papaya,0,11,11,12,7.76046702921342
Cumilla,Kharif 1,Green Papaya,457,50.22,62.02,49.78,6.84,25.0,20.0,30,70.0,80,60,185.7563131313132,2394,papaya,0,12,11,12,7.781138509845015
Dhaka,Kharif 1,Green Papaya,118,50.33,56.86,51.69,6.87,25.0,20.0,30,70.0,80,60,169.94262295081967,2499,papaya,0,13,11,12,7.824046010856292
Dinajpur,Kharif 1,Green Papaya,437,48.79,57.07,52.89,6.49,25.0,20.0,30,70.0,80,60,154.21843434343435,3838,papaya,0,14,11,12,8.252967195000798
Faridpur,Kharif 1,Green Papaya,473,49.71,55.15,49.86,6.44,25.0,20.0,30,70.0,80,60,155.864898989899,12689,papaya,0,15,11,12,9.448569560708433
Feni,Kharif 1,Green Papaya,495,50.8,60.61,55.61,6.59,25.0,20.0,30,70.0,80,60,248.1727642276423,551,papaya,0,16,11,12,6.313548046277095
Gaibandha,Kharif 1,Green Papaya,177,44.76,61.81,50.71,6.61,25.0,20.0,30,70.0,80,60,179.6013888888889,1829,papaya,0,17,11,12,7.512071245835466
